r_i,r_j,c_i,c_j,alpha_ionj,alpha_joni,tau_i,tau_j,Rho,interaction,scenario
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
1.25,1.25,0.741110444,0.741110444,0.129444778,0.129444778,0.2,0.2,0.14,m,Baseline
