"r_i","r_j","c_i","c_j","alpha_ionj","alpha_joni","tau_i","tau_j","Rho","interaction","scenario"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
1,1,0.782852759048374,0.782852759048374,0.0255622218635331,0.0255622218635331,0.05,0.05,0.035,"m","Baseline"
